#,n,l,m,f.mean,f.sdev
#,u0: 37289.47137978341,type: wavelet,uMax: 37289.47137978341,nMax: 0,ellMax: 0
,49,4,2,4.524817453146914e-06,4.505681829226936e-07
,50,4,2,-4.976841837546305e-06,3.8413374097851623e-07
,51,4,2,-4.781284031547726e-06,2.6449642770373427e-07
,52,4,2,7.414028611642502e-07,1.5705359074142381e-07
,53,4,2,2.6324585270422862e-06,1.868192080388884e-07
,54,4,2,2.9826958655474645e-06,2.2154534501943816e-07
,55,4,2,-2.2745810918127784e-06,1.9334398402668774e-07
,56,4,2,-4.572227968933013e-06,1.2802345988593201e-07
,57,4,2,1.5459944545448447e-06,9.214127600496499e-08
,58,4,2,1.8035840717428059e-06,8.601474906796464e-08
,59,4,2,5.897991888470997e-07,1.2498863886711744e-07
,60,4,2,-5.263263519527019e-07,1.1006635979610723e-07
,61,4,2,-2.3644523578809438e-06,6.91190079646307e-08
,62,4,2,-2.4251355635569015e-07,5.5790501042571356e-08
,63,4,2,2.6111364080703467e-06,5.5126305286171135e-08
,64,4,2,-5.911726203767427e-07,1.9160244337781758e-07
,65,4,2,-1.4632623614988518e-05,2.88733472269604e-06
,66,4,2,-4.4127475495688504e-05,6.9379566451670955e-06
,67,4,2,-2.7882163092903456e-06,6.120602148178489e-06
,68,4,2,6.273007401408747e-05,3.278268264719429e-06
,69,4,2,2.7952382993058538e-05,2.19592285595161e-06
,70,4,2,-7.8004285565267e-05,4.6796666785203475e-06
,71,4,2,-1.7282665425574426e-05,7.258963989367881e-06
